X,Y
-1,-0.399998
-0.979798,-0.730217
-0.959596,-0.833239
-0.939394,-0.992122
-0.919192,-0.976469
-0.89899,-0.980817
-0.878788,-0.941488
-0.858586,-0.755444
-0.838384,-0.719848
-0.818182,-0.649633
-0.79798,-0.738755
-0.777778,-0.669738
-0.757576,-0.534645
-0.737374,-0.592771
-0.717172,-0.473128
-0.69697,-0.265166
-0.676768,-0.140274
-0.656566,-0.193008
-0.636364,-0.0400368
-0.616162,-0.00199551
-0.59596,0.220193
-0.575758,0.4932
-0.555556,0.754831
-0.535354,1.13506
-0.515152,1.40693
-0.494949,1.54387
-0.474747,1.51153
-0.454545,1.49858
-0.434343,1.14892
-0.414141,0.770759
-0.393939,0.32036
-0.373737,-0.167596
-0.353535,-0.609062
-0.333333,-0.82352
-0.313131,-0.677941
-0.292929,-0.609641
-0.272727,-0.330552
-0.252525,-0.108954
-0.232323,0.0326566
-0.212121,-0.149283
-0.191919,-0.385219
-0.171717,-0.563209
-0.151515,-0.975288
-0.131313,-1.27228
-0.111111,-1.45712
-0.0909091,-1.5484
-0.0707071,-1.21639
-0.0505051,-0.786588
-0.030303,-0.439812
-0.010101,0.0699189
0.010101,0.546358
0.030303,0.782817
0.0505051,0.896473
0.0707071,0.948453
0.0909091,0.930043
0.111111,0.820721
0.131313,0.815502
0.151515,0.850103
0.171717,0.826949
0.191919,0.639656
0.212121,0.778977
0.232323,0.642151
0.252525,0.556411
0.272727,0.406276
0.292929,0.423367
0.313131,0.2192
0.333333,0.0862416
0.353535,-0.0250533
0.373737,0.0603398
0.393939,-0.238157
0.414141,-0.337463
0.434343,-0.613196
0.454545,-0.936688
0.474747,-1.11745
0.494949,-1.44714
0.515152,-1.59406
0.535354,-1.46553
0.555556,-1.42702
0.575758,-0.908295
0.59596,-0.431904
0.616162,0.0663163
0.636364,0.334709
0.656566,0.573417
0.676768,0.787891
0.69697,0.737671
0.717172,0.495118
0.737374,0.297681
0.757576,0.141168
0.777778,0.173513
0.79798,0.288418
0.818182,0.433961
0.838384,0.802361
0.858586,1.15434
0.878788,1.42925
0.89899,1.51853
0.919192,1.44513
0.939394,1.05166
0.959596,0.703413
0.979798,0.105636
1,-0.316921
